Date_file,Midden:0-19,Midden:20+,Midden:Other,Noord:0-19,Noord:20+,Noord:Other,Zuid:0-19,Zuid:20+,Zuid:Other
2021-03-12,72199,416818,88,55651,326647,41,36555,236785,38
2021-03-13,72743,418934,88,56123,328428,41,36861,237962,38
2021-03-14,73283,420861,88,56584,329983,41,37182,239132,38
2021-03-15,73774,422541,88,57004,331511,41,37465,240199,38
2021-03-16,74236,424038,88,57389,332874,41,37740,241119,38
2021-03-17,74853,426012,88,57832,334444,41,38043,242136,38
2021-03-18,75441,427944,88,58316,336166,41,38333,243245,38
2021-03-19,76277,430501,88,58864,338069,41,38670,244439,38
2021-03-20,76944,432761,88,59470,339945,41,39152,246141,38
2021-03-21,77602,434960,88,60015,341772,41,39539,247490,38
2021-03-22,78281,437049,88,60467,343243,42,39892,248706,38
2021-03-23,78839,438866,89,60905,344639,42,40221,249727,38
2021-03-24,79638,441380,90,61413,346571,42,40635,251138,38
2021-03-25,80448,443874,90,62019,348502,42,41072,252562,38
2021-03-26,81352,446470,90,62585,350288,42,41488,253856,38
2021-03-27,82169,449317,90,63273,352547,42,41960,255571,38
2021-03-28,82845,451631,90,63832,354378,42,42412,257169,38
2021-03-29,83515,453697,90,64345,356039,42,42819,258570,38
2021-03-30,84125,455775,90,64724,357321,42,43145,259723,38
2021-03-31,84851,458470,90,65223,359150,42,43619,261133,38
2021-04-01,85627,461134,91,65720,361085,42,44080,262626,38
2021-04-02,86404,463645,91,66210,362727,42,44452,264087,38
2021-04-03,87041,466218,93,66694,364500,42,44938,265760,38
2021-04-04,87614,468533,93,67143,366030,42,45376,267277,38
2021-04-05,88191,470144,94,67508,367258,42,45732,268459,38
2021-04-06,88779,472005,95,67884,368539,43,46090,269534,38
2021-04-07,89432,474152,95,68323,369934,43,46466,270870,38
2021-04-08,90323,476948,95,68772,371554,43,46950,272413,38
2021-04-09,91019,479742,95,69217,373224,43,47404,273989,38
2021-04-10,91717,482354,95,69674,374963,44,47859,275703,38
2021-04-11,92482,485248,95,70115,376792,44,48367,277484,38
2021-04-12,93083,487341,95,70564,378306,44,48763,279106,38
2021-04-13,93741,489707,95,70943,379800,44,49166,280491,38
2021-04-14,94214,491452,95,71299,380965,44,49531,281773,38
2021-04-15,95074,494550,95,71819,382989,44,50064,283472,38
2021-04-16,95959,497575,95,72385,384912,44,50628,285407,38
2021-04-17,96813,500626,95,72911,386601,44,51183,287017,38
2021-04-18,97690,503535,95,73432,388419,44,51718,288862,38
2021-04-19,98440,505895,96,73889,389996,44,52192,290360,38
2021-04-20,99097,508267,96,74350,391446,44,52619,291815,38
2021-04-21,99955,511200,96,74855,393104,44,53208,293743,38
2021-04-22,100984,514572,96,75529,395205,45,53788,295597,38
2021-04-23,101882,517632,96,76145,397134,46,54480,297611,38
2021-04-24,102649,520465,96,76664,398772,46,55035,299358,39
2021-04-25,103378,523062,97,77126,400366,46,55615,301408,39
2021-04-26,104032,525040,97,77567,401750,46,56060,302706,39
2021-04-27,104511,526539,97,77929,403025,46,56432,304056,39
2021-04-28,105428,529567,97,78396,404736,46,57064,305950,39
2021-04-29,106095,531947,97,78823,406291,46,57626,307630,39
2021-04-30,106876,534606,97,79234,407843,46,58175,309436,39
2021-05-01,107358,536355,98,79579,409080,46,58592,310960,39
2021-05-02,108009,538552,98,79903,410226,46,58855,311887,39
2021-05-03,108824,541583,98,80510,412455,46,59419,313828,39
2021-05-04,109456,544281,98,80885,414186,46,59921,315615,39
2021-05-05,110106,546670,99,81319,415809,46,60414,317298,39
2021-05-06,110624,548760,99,81758,417450,47,60837,318975,39
2021-05-07,111350,551324,100,82206,419117,47,61283,320604,39
2021-05-08,112034,553733,100,82692,420804,47,61743,322276,40
2021-05-09,112644,555921,100,83052,422119,47,62208,323891,40
2021-05-10,113192,557683,100,83464,423585,47,62546,325223,40
2021-05-11,113740,559485,100,83842,424875,47,62859,326410,40
2021-05-12,114349,561605,100,84228,426269,47,63273,327843,40
2021-05-13,114886,563695,100,84633,427584,47,63631,329151,40
2021-05-14,115342,565459,100,85000,428831,47,63988,330475,40
2021-05-15,115700,566863,100,85308,429828,47,64296,331546,40
2021-05-16,116084,568294,100,85603,430791,47,64598,332607,40
2021-05-17,116353,569278,100,85818,431415,47,64758,333184,40
2021-05-18,116885,571013,101,86146,432573,47,65097,334417,40
2021-05-19,117345,572549,101,86475,433651,47,65349,335310,41
2021-05-20,117811,574031,101,86778,434650,47,65674,336367,41
2021-05-21,118200,575419,101,87085,435539,47,65947,337269,41
2021-05-22,118474,576476,101,87330,436272,47,66156,337913,41
2021-05-23,118822,577585,101,87580,436992,47,66386,338678,41
2021-05-24,119098,578419,103,87812,437591,47,66554,339257,41
2021-05-25,119384,579228,104,87995,438161,47,66694,339730,41
2021-05-26,119682,580069,104,88204,438730,47,66902,340359,41
2021-05-27,120092,581131,104,88476,439502,47,67108,340965,41
2021-05-28,120592,582398,104,88783,440312,47,67354,341687,41
2021-05-29,120941,583395,104,89036,441057,47,67582,342496,41
2021-05-30,121276,584285,104,89222,441588,47,67789,343065,42
2021-05-31,121552,584843,104,89392,442025,47,67927,343528,42
2021-06-01,121911,585631,104,89617,442531,48,68048,343848,42
2021-06-02,122228,586391,104,89831,443087,48,68214,344337,42
2021-06-03,122705,587189,104,90084,443637,48,68434,344774,42
2021-06-04,123058,587897,104,90334,444134,48,68606,345176,42
2021-06-05,123362,588552,104,90509,444525,48,68807,345571,42
2021-06-06,123561,589061,104,90655,444841,48,68925,345813,42
2021-06-07,123781,589451,104,90806,445123,48,69036,346036,42
2021-06-08,123972,589889,104,90947,445434,48,69144,346267,41
2021-06-09,124238,590516,104,91083,445704,48,69278,346548,41
2021-06-10,124489,590998,104,91226,445973,48,69449,346793,41
2021-06-11,124731,591434,104,91336,446209,48,69564,347031,41
2021-06-12,124934,591791,104,91482,446447,48,69649,347207,41
2021-06-13,125121,592080,104,91586,446630,48,69761,347373,41
2021-06-14,125293,592303,104,91690,446784,48,69838,347495,41
2021-06-15,125506,592593,104,91817,446998,48,69901,347620,41
2021-06-16,125710,592889,104,91930,447167,48,69974,347781,41
2021-06-17,125908,593193,104,92069,447364,48,70064,347917,41
2021-06-18,126060,593476,104,92174,447541,48,70127,348025,41
2021-06-19,126164,593686,104,92246,447700,48,70178,348115,41
2021-06-20,126286,593884,104,92323,447830,48,70243,348224,41
2021-06-21,126369,594052,104,92402,447922,48,70297,348307,41
2021-06-22,126488,594256,104,92474,448069,48,70354,348394,41
2021-06-23,126585,594471,105,92515,448206,48,70410,348499,41
2021-06-24,126700,594699,105,92591,448339,48,70464,348593,41
2021-06-25,126786,594943,105,92635,448469,48,70508,348686,41
2021-06-26,126867,595109,105,92680,448600,48,70554,348769,41
2021-06-27,126935,595280,105,92737,448695,48,70583,348847,41
2021-06-28,127045,595466,105,92784,448805,48,70621,348913,41
2021-06-29,127125,595643,105,92824,448935,48,70658,348987,41
2021-06-30,127195,595837,105,92885,449068,48,70712,349109,41
2021-07-01,127298,596121,105,92965,449269,48,70752,349226,41
2021-07-02,127405,596398,105,93076,449535,48,70817,349341,41
2021-07-03,127540,596715,105,93232,449811,48,70889,349510,41
2021-07-04,127668,597011,105,93447,450144,48,70969,349673,41
2021-07-05,127867,597403,105,93652,450569,48,71078,349862,41
2021-07-06,128161,598009,105,93956,451160,48,71201,350153,41
2021-07-07,128647,599282,105,94387,452120,48,71346,350504,41
2021-07-08,129319,600919,105,95036,453733,48,71612,351098,41
2021-07-09,130201,603352,105,95803,455806,48,71792,351689,41
2021-07-10,131424,606917,105,96849,458464,48,72301,352971,41
2021-07-11,132427,609597,105,98015,461511,48,72692,354002,41
2021-07-12,133282,611969,105,99044,464382,48,73077,354931,41
2021-07-13,134106,614130,106,99999,466987,48,73442,355841,41
2021-07-14,135252,617498,106,101082,470158,48,73923,357018,41
2021-07-15,136407,620713,106,102105,473635,48,74563,358484,41
2021-07-16,137720,624119,106,103122,476857,48,75214,360172,41
2021-07-17,138868,627375,106,104126,479801,48,76016,362054,41
2021-07-18,140097,630539,106,105163,482580,48,76566,363430,41
2021-07-19,141275,633125,106,106355,484913,48,77054,364527,41
2021-07-20,142050,634946,107,107107,486542,48,77632,365670,41
2021-07-21,142838,637060,107,107862,488289,48,78124,366671,41
2021-07-22,143466,638769,107,108512,489870,48,78718,367742,41
2021-07-23,144153,640603,107,109165,491434,48,79305,368812,41
2021-07-24,144787,642177,107,109631,492678,48,79751,369717,41
2021-07-25,145366,643379,107,110070,493783,48,80192,370535,41
2021-07-26,145895,644284,107,110525,494799,48,80506,371167,41
2021-07-27,146457,645427,107,110934,495732,48,80825,371758,41
2021-07-28,146895,646367,107,111252,496624,48,81070,372380,41
2021-07-29,147452,647656,107,111653,497742,48,81409,373091,41
2021-07-30,147854,648657,107,111934,498588,48,81645,373712,41
2021-07-31,148220,649512,107,112214,499312,48,81870,374187,41
2021-08-01,148492,650120,107,112480,499932,48,82048,374547,41
2021-08-02,148750,650673,107,112708,500514,48,82218,374850,41
2021-08-03,148986,651276,107,112928,501099,48,82385,375223,41
2021-08-04,149288,652170,107,113183,501779,48,82565,375675,41
2021-08-05,149623,653264,107,113467,502663,48,82804,376197,41
2021-08-06,149901,654085,107,113723,503492,48,83000,376724,41
2021-08-07,150134,654821,107,113897,504166,48,83159,377140,41
2021-08-08,150382,655530,107,114127,504825,49,83276,377468,41
2021-08-09,150566,656084,107,114327,505442,49,83423,377792,41
2021-08-10,150794,656770,107,114534,506039,49,83540,378118,41
2021-08-11,151003,657406,107,114723,506667,50,83680,378427,41
2021-08-12,151252,658223,107,114956,507424,50,83802,378812,41
2021-08-13,151527,659094,107,115197,508172,50,83925,379230,42
2021-08-14,151746,659842,107,115415,508860,50,84038,379547,42
2021-08-15,151995,660547,107,115615,509520,50,84173,379851,42
2021-08-16,152238,661145,107,115848,510215,50,84277,380206,42
2021-08-17,152476,661798,107,116092,510897,50,84405,380567,42
2021-08-18,152749,662615,107,116388,511715,50,84547,380998,42
2021-08-19,153016,663437,107,116619,512431,50,84656,381340,43
2021-08-20,153249,664106,107,116846,513128,50,84743,381636,43
2021-08-21,153494,664867,107,117121,513875,50,84840,381919,43
2021-08-22,153749,665563,108,117393,514639,50,84958,382266,43
2021-08-23,154019,666260,108,117680,515341,50,85070,382588,43
2021-08-24,154324,666960,108,117976,516096,50,85174,382865,43
2021-08-25,154622,667872,108,118309,516912,50,85285,383223,43
2021-08-26,154927,668664,108,118607,517654,50,85389,383576,43
2021-08-27,155207,669589,108,118941,518513,50,85478,383904,43
2021-08-28,155530,670445,108,119210,519099,50,85587,384211,43
2021-08-29,155777,671119,108,119495,519792,50,85683,384505,43
2021-08-30,156074,671838,108,119776,520328,50,85785,384741,43
2021-08-31,156381,672545,108,120101,520932,50,85876,385018,44
2021-09-01,156751,673482,108,120506,521623,50,85995,385323,44
2021-09-02,157102,674360,108,120920,522335,50,86101,385635,44
2021-09-03,157420,675109,108,121324,522983,50,86198,385959,44
2021-09-04,157705,675955,108,121655,523723,50,86319,386326,45
2021-09-05,158040,676652,108,122018,524301,50,86429,386590,45
2021-09-06,158378,677199,108,122358,524826,50,86535,386849,45
2021-09-07,158791,677847,108,122742,525403,50,86648,387170,45
2021-09-08,159198,678655,108,123222,526069,50,86747,387491,45
2021-09-09,159574,679304,108,123600,526660,50,86848,387758,45
2021-09-10,160002,680124,108,123956,527276,50,86957,388116,45
2021-09-11,160353,680808,108,124233,527842,50,87052,388341,45
2021-09-12,160680,681362,108,124513,528391,50,87162,388603,45
2021-09-13,160957,681808,108,124765,528830,50,87274,388816,45
2021-09-14,161343,682401,108,124991,529286,50,87376,389062,45
2021-09-15,161740,683134,108,125264,529883,50,87503,389289,45
2021-09-16,162139,683717,109,125493,530406,50,87614,389541,45
2021-09-17,162526,684451,110,125721,530854,50,87701,389794,45
2021-09-18,162869,685069,110,125928,531306,50,87813,390062,45
2021-09-19,163185,685556,110,126074,531676,50,87911,390308,45
2021-09-20,163424,685908,111,126203,531971,50,88029,390500,45
2021-09-21,163755,686448,111,126331,532313,50,88153,390699,45
2021-09-22,164080,687105,111,126489,532667,50,88288,390970,45
2021-09-23,164380,687687,111,126625,533085,50,88400,391245,45
2021-09-24,164638,688268,111,126767,533460,50,88489,391481,45
2021-09-25,164873,688834,111,126919,533811,50,88576,391682,45
2021-09-26,165126,689337,111,127041,534145,50,88704,391939,45
2021-09-27,165347,689796,112,127169,534435,50,88793,392138,45
2021-09-28,165631,690371,112,127324,534809,50,88889,392361,45
2021-09-29,165876,690973,112,127494,535151,50,89006,392640,45
2021-09-30,166091,691534,112,127617,535579,50,89116,392906,45
2021-10-01,166329,692140,112,127762,535959,50,89207,393158,46
2021-10-02,166525,692722,112,127889,536353,50,89288,393436,46
2021-10-03,166721,693261,112,128020,536724,50,89374,393716,46
2021-10-04,166948,693823,112,128146,537095,50,89465,393963,46
2021-10-05,167257,694529,112,128303,537464,50,89560,394209,46
2021-10-06,167530,695165,112,128485,537845,51,89669,394522,46
2021-10-07,167929,696102,112,128728,538469,51,89812,394922,46
2021-10-08,168305,697109,112,128938,539038,51,89922,395411,46
2021-10-09,168613,697984,112,129149,539597,51,90055,395826,46
2021-10-10,168888,698684,112,129346,540170,51,90185,396209,46
2021-10-11,169260,699612,112,129590,540804,51,90331,396596,46
2021-10-12,169749,700615,112,129817,541398,51,90474,397027,46
2021-10-13,170240,701839,112,130125,542303,51,90661,397628,46
2021-10-14,170761,703093,112,130410,543115,51,90831,398209,46
2021-10-15,171242,704438,112,130705,543977,52,91007,398758,46
2021-10-16,171676,705696,113,130969,544864,52,91173,399450,46
2021-10-17,172092,706778,113,131296,545749,52,91393,400192,46
2021-10-18,172487,707804,113,131576,546566,52,91617,400804,46
2021-10-19,172952,709131,113,131833,547373,52,91867,401593,46
2021-10-20,173430,710596,113,132178,548528,52,92125,402466,46
2021-10-21,174003,712303,113,132524,549789,52,92433,403466,46
2021-10-22,174629,714469,113,132917,551147,52,92689,404535,46
2021-10-23,175119,716476,113,133279,552545,52,92967,405675,47
2021-10-24,175734,718653,113,133630,554001,52,93319,407014,47
2021-10-25,176266,720403,113,133998,555359,52,93578,408043,47
2021-10-26,176848,722303,113,134381,556765,52,93821,409276,47
2021-10-27,177575,724824,113,134858,558634,52,94145,410618,47
2021-10-28,178332,727683,113,135290,560416,52,94492,412124,47
2021-10-29,178939,730473,113,135686,562177,53,94820,413630,47
